,text,claim,emotion
9369,"So, in total, during 40 out of the 62 years there has been a cooling trend. They are comparing a statistically insignificant amount of warming since 1998, with three decades of cooling. The result is to make this small trend sound much more significant than it is.",1_4,neutral
9374,"So, as the unseasonal cold settles in over the U.S. this week, don't be fooled by those who claim ""global warming causes cooling"". What we are seeing is natural variability, likely dominated by the oceans. The ""new weather norm"" might well be different from what anyone less than 30 years old has been used to.",2_1,neutral
9378,The exponential ???hockey-stick?? curves of the IPCC et al emphasize just how much difference extra carbon supposedly makes. Few people realize that the exponential rising curves come from feedback factors (which are the fatal flaw of the science behind the scare campaign).,5_1,realization
9379,"What makes the magnitude of these shares determined? Will they remain constant? That's not safe. As a result of increasing the CO2 content of the atmosphere increases plant growth around the world gradually. Therefore, the CO2 absorption will increase by plants, but ultimately also the decomposition of dead plant parts. We can not accurately assess these developments. It may be so, that the 2% (which accumulate) gradually increase or decrease. In the latter case, the CO2 content can be constant (that is of course speculation).",3_3,curiosity
9380,"Climate models are known to poorly simulate clouds, and given clouds?? very strong effect on the climate systemsome types cooling the Earth either by shading it or by transporting heat up and cold down in thunderstorms, and others warming the Earth by blocking outgoing radiationit remains highly plausible that there is no net positive feedback from water vapor.",5_1,neutral
9381,"If this weather forecast showing sub-freezing temperatures in the Beaufort Sea is correct, alarmists are in a world of hurt.",1_3,neutral
9384,The CPP Will Cost More than EPA Estimates. EPA's estimated nationwide compliance cost of $7.3 billion to $8.8 billion in 2030 is implausibly low. Expert estimates put the cost to states at $41 billion in 2030 and $336 billion over 15 years.,4_1,neutral
9386,"The study found that though there are large regional fluctuations in crop-hail losses, ???No statistically significant long-term trend of decrease or increase in crop-hail loss costs exists.?? For weather-caused insured property losses the study found that the increased weather-related losses that have occurred since 1950 ???were directly related to population growth.?? Other studies have confirmed this result.",1_7,approval
9388,"Christy and Spencer are best known for their work with the satellite temperature record, which is a record of tropospheric temperatures. They discussed the importance of that data. The satellite data, according to Spencer, should be the most robust data if global warming occurs. The global warming signal should be 30 percent higher in the satellite data than in the surface temperature data. Yet the satellites record a slight cooling trend over the last 20 years.",1_4,neutral
9390,"If they did, they would know that Oregon has been cooling over the last 25 years and has dropped over two degrees during the last seven years. They would also know that 2008, 2009 and (soon) 2010 are three of the five coldest years in the last quarter century.",1_4,realization
9392,"The theory of anthropogenic global warming is based upon the notion that increases in the minor greenhouse gasCO2 result in increases ofthe major greenhouse gaswater vapor, thereby supposedlyincreasing global warming to alarming levels of 2-5C per doubling of CO2 levels. Without this assumed and unproven positive feedback from water vapor, there is no basis for alarm. While the IPCC confidently stated in their 2007 report ,",3_1,neutral
9393,"Last year, the U.S. reduced its emissions by 3.9 percent. That reduction was larger than that of any other major industrialized country. In contrast, China's carbon-dioxide output soared by 6 percent and India's by 6.9 percent, while Brazil's rose by 2.5 percent and Mexico's by 4.3 percent.",4_2,neutral
9396,I conclude that there is no relationship between carbon dioxide and temperature at a pristine site like that at Mauna Loa. In conclusion the whole theory of radiative forcing allegedly arising from increasing concentration of carbon dioxide over time has no validity at pristine locations like Mauna Loa.,2_3,realization
9397,"Section IV sounds a cautionary note. Downsizing and down-weighting of cars is the least-costly means of increasing fuel economy and decreasing GHG emissions per vehicle mile traveled. Lighter, smaller vehicles are less crashworthy. Federal fuel economy mandates killed between 1,300 and 2,600 motorists in 1993, according to the National Research Council. To the extent that AB 1493 constrains vehicle size and weight, it will adversely affect auto safety.",4_1,neutral
9399,"A paper published today in Climate of the Past finds the low solar activity during the Dalton Minimum from 1780-1840 had a significant effect on climate and ocean heat content. According to the authors, ""Global and hemispheric mean surface temperatures show a significant dependence on solar irradiance at > 250 nm"" and ""Reduction of irradiance at > 250 nm leads to a significant (up to 2%) decrease in theocean heat content (OHC) between 0 and 300 meters in depth, whereas the changes in irradiance at < 250 nm or in energetic particles have virtually no effect.""",2_1,neutral
9402,"4. For the German Government, do the arguments made by Fred Singer and other arguments presented have merit and are they ???enlightening??? How do you assess the statements by Mr Singer that ???Politicians that are embedded in climate change are more dangerous than climate change itself???",5_2,curiosity
9403,"Other eco-zealots in attendance were Robert May (a zoologist) who is on record declaring the world was on a calamitous trajectory due to global warming.The BBC was recently forced to admit that the seminar was organised by the Cambridge Media and Environment Programme (CMEP), established by pro-green activist Joe Smith and BBC reporter Roger Harrabin(co-founder of CMEP). Harrabin is also on the UEAs Advisory board of the Tyndall Centre raising serious conflict of interest issues. Pointedly, not one of the attendees deals with attribution science, the physics of global warming.",5_2,neutral
9408,"If we continue using fossil fuels, there is a 0.0% chance that it will lead to a climate catastrophe. CO2 was much higher for most of the last 600 million years, and life thrived.",2_3,fear
9409,"For example, 18 years of sea level measurements from satellites suggested a trend of 3.2 mm per year until a drop in 2010, attributed to a shift from El Nio to La Nia, neither event accepted by the IPCC as a cause of climate change. The average has been about 3 mm per year, and may become less. This works out to an expected rise, based on observations, of no more than about 300 mm in 100 years ??? by 2100. Yet, several studies presented at the latest American Association for the Advancement of Science (AAAS) Conference emphasize that sea level will rise by about 1000 mm per century ??? one meter.",1_6,curiosity
9411,"He is culpably silent on Dr. Ryan Maues Accumulated Cyclone Energy index, which shows that since 2005 the combined frequency, intensity, and duration of all tropical cyclones, hurricanes, and typhoons worldwide, expressed as a 24-month running sum, shows the least activity in the entire satellite record. Spencer 4, Nuccitelli 0.",1_7,neutral
9415,"In Northumberland, researchers found sediments from 7,000 years ago five metres below, and others from 4,000 years ago at 1 metre above the present sea level. This indicates that the sea level rose above present levels from around 7,500 years ago to 4,500 years ago, and then dropped and is continuing to fall. Sea-levels in most of Scotland peaked even higher about 4,500 years ago and have been falling ever since because the land has risen.",2_1,realization
9420,The figures suggest that we could even be heading for a mini ice age to rival the 70-year temperature drop that saw frost fairs held on the Thames in the 17th Century.,1_2,realization
9422,"MP: What is there to possibly like about biofuels like ""demon ethanol"" (unless of course, you're a rent-seeking corn farmer)? It ruins car engines, it's an inferior and costly fuel, it's bad for the environment, it's a political boondoggle, it stresses water supplies, it increases malnutrition in vulnerable populations, and it raises taxes, gas and food prices.",4_4,curiosity
9431,"Better to look at the correct graph before making ridiculous comments. Sea level has risen 15 metres during the last 8,000 years. Over the last eight years it has hardly risen at all.",1_6,annoyance
9434,"Northern US winters are far worse than even record-setters in Britain. Why would anyone want to impose costly and nightmarish energy and environmental policies on American families, rich or poor?",4_1,annoyance
9436,"II. Multi-decadal oscillations plus trend hypothesis: 20th century climate variability/change is explained by the large multidecadal oscillations (e.g NAO, PDO, AMO) with a superimposed trend of external forcing (AGW warming). The implications for temperature change in the 21st century is relatively constant temperatures for the next several decades, or possible cooling associated with solar. Challenges: separating forced from unforced changes in the observed time series, lack of predictability of the multidecadal oscillations.",1_2,neutral
9437,"Again, there almost certainly is a warming trend since 1850, and some of that trend is probably due to manmade CO2, but sensitivities in most forecasts that get attention in the media are way too high. A tenth of a degree C per decade over the next 100 years from manmade CO2 seems a reasonable planning number.",3_1,approval
9438,"In the end, the Committee basically took the UEA scientists? word for it, giving them the benefit of the doubt, and saying that the scientists were blameless. Even this committee, however, did find that ?The leaked emails appear to show a culture of non-disclosure at CRU and instances where information may have been deleted to avoid disclosure, particularly to climate change skeptics.? Finding an anti-scientific culture at CRU and also that the CRU?s Director?s reputation remained intact, as the Inquiry did, is political doublespeak of the highest order. Its finding should be viewed in that light.",5_2,confusion
9443,"Moore and White do not mince words when describing the Marxist political philosophy, which they say has caused a great deal of damage to middle-income and poor people around the world when applied to energy policy.",4_1,approval
9447,"As the CO 2 content of the air continues to rise, it is likely that wheat plants will exhibit significant increases in photosynthesis and yield even under less than favorable growing conditions characterized by elevated atmospheric ozone concentrations and/or pathogenic infections by rust-causing organisms. Thus, it is likely that such detrimental environmental and biotic factors will not threaten world grain production in the years to come, as long as the air's CO 2 content is allowed to increase unhindered by mankind's misguided legislative attempts to stabilize the atmospheric concentration of this vital life-supporting gas.",3_3,realization
9448,"Methane hydrates are the largest reserve of hydrocarbons in the planetary crust. The methane hydrates in sediment considered part of U.S. territory alone could supply U.S. natural gas needs for 1000 years. So far humanity has not devised a process to economically harvest this immense energy wealth. Todays DOE announcement may point the way to a new era in abundant energy to build out a bigger and better world economy. -- The Global Warming Policy Foundation, 3 May 2012",4_5,realization
9450,"It is also unlocking oil wealth in the vast Bakken shale formation of Montana, North Dakota and Saskatchewan. Oil production there has already soared from 3,000 barrels a day five years ago to over 225,000 today. The US Energy Information Administration says it could reach 350,000 barrels a day by 2035; industry sources say it could top a million barrels by 2020. Related oilfield employment has soared from 5,000 to over 18,000 in the same five-year period, and could eventually reach 100,000 jobs. At $100 a barrel, even 350,000 barrels a day could mean $1.6 billion in annual royalties, from Bakken oil alone.",4_5,neutral
9453,"The ongoing rise in the air's CO 2 content would appear to have the capacity to totally thwart the adverse growth effects of any increase in air temperature it might possibly be causing, as we describe in detail in our major report The Specter of Species Extinction: Will Global Warming Decimate Earth's Biosphere? .",3_3,curiosity
9456,The report shows a planet that is awash in energy and also projects strong growth in new energy forms such as shale and oil sands (p. 20) which are thought to be abundant. On page 95 the report states (my emphasis):,4_5,neutral
9460,"Climate dynamics of clouds: Could changes in cloud distribution or optical properties contribute to the global surface temperature hiatus? How do cloud patterns (and TOA and surface radiative fluxes) change with shifts in in atmospheric circulation and teleconnection regimes (e.g. AO, NAO, PDO)? How do feedbacks between clouds, surface temperature, and atmospheric thermodynamics/circulations interact with global warming and the atmospheric circulation and teleconnection regimes?",1_4,curiosity
9464,"Figure 1 and Figure 2 show that to a high degree of certainty, and apart from year-to-year temperature variability, the entire trend in global air temperatures since 1880 can be explained by a linear trend plus an oscillation.",2_1,neutral
9466,"Athumani Juma doesn??t believe it. A guide who??s been hiking the mountain for the past seven years, he laughed when he was asked about the likelihood that Kilimanjaro??s snowcap would disappear soon. The glaciers, he claimed, no longer are shrinking, but growing.",1_1,amusement
9470,"The world's great religions long ago ended the practice of offering absolution in exchange for cash. In the global warming age, however, large emitters of carbon, such as former Vice President Al Gore (whose 20 room eight bathroom mansion in Nashville consumes as much power as twenty average Americans) claim to use ""offsets."" Gore and the global warming elite have advocated purchasing carbon offsets which allow them to continue their rich lifestyles guilt free. They are also willing to sell these offsets to the rest of us.",5_2,neutral
9471,"All gases in the atmosphere have an effect on global climate, usually a moderating one, reducing the intense heat of the midday sun and reducing the rate of cooling at night. But only in theoretical climate models does carbon dioxide drive global warming ??? real evidence contradicts them.",2_3,neutral
9473,13. Earths climate has always been changing and cycles of heating and cooling have been a standard feature of earth history for as long as geological and historical records exist. To suggest that man is suddenly causing every extreme weather event is unjustified scare mongering and not based on any factual evidence.,2_1,disapproval
9475,"The third pillar of science is peer group assessment. This allows for validation of your thesis by fellow scientists and is usually done in confidence. However, the entire process was set aside by the IPCC while preparing the report. Thus, it has zero scientific value.",5_2,neutral
9478,"The different hemispheric records in the mid-twentieth century have never been convincingly explained. The most likely explanation is atmospheric aerosolsHowever, there are no aerosol measurements to confirm that interpretation. If there were adequate understanding of the relation between fossil fuel burning and aerosol properties it would be possible to infer the aerosol properties in the past century. But such understanding requires global measurements of aerosols with sufficient detail to define their properties and their effect on clouds, a task that remains elusive",5_1,neutral
9482,"Barton told me: ""You'll note that Senator Schumer still seems to think that subsidies for wind energy (electricity) will somehow ""reduce foreign imports,' and then references increasing ""efficiency' in response to a letter about inefficient, unreliable wind?"" She's picked up on one of my favorite soapboxes: we could cover every available acre with wind turbines and solar panels and it would do nothing to ""reduce our dependence on foreign oil"" or increase America's energy independence. Wind and solar produce electricity and, through our coal, natural gas, and uranium supplies, we are already electricity independent. We import oil to fuel our transportation fleet.",4_4,neutral
9487,"More on the Sun | Climate Skeptic I wouldnt say that I am a total sun hawk, meaning that I believe the sun and natural trends are 100% to blame for global warming. I dont think it unreasonable to posit that once all the natural effects are unwound, man-made CO2 may be contributing a 0.5-1.0C a century trend (note this is far below alarmist forecasts). But the sun almost had to be an important fact in late 20th century warming. Previously, I have shown this chart of sunspot activity over the last century, demonstrating a much higher level of solar activity in the second half than the first (the 10.8 year moving average was selected as the average length of a 20th century sunspot cycle).",2_1,neutral
9491,"2. If people are concerned about the adverse impacts of extreme weather events, reducing CO2 emissions are not going to have any impact on policy relevant time scales, even if you accept the IPCC analyses. Resources expended on energy policy are in direct conflict with reducing vulnerability to extreme events.",4_2,neutral
9498,"3) The only evidence now for the theory of dangerous carbon dioxide-induced global warming is the IPCC models, which assume, incorrectly it now appears, that clouds exacerbate the warming due to carbon dioxide.",5_1,neutral
9512,"Chris Colose , an AGW advocate, attempted to criticize Richard Lindzen's demonstration that positive feedbacks cannot dominate . Well, the best thing he could do was to use some alternative graphs to argue that the current models underestimate the negative feedbacks by a factor of 2-3 rather than 5-7. This factor of 2-3 corresponds to no feedbacks. Well, a multiplicative discrepancy by a factor of 2-3 is still a pretty bad rating for the models, isn't it?",5_1,disapproval
9519,"The SSRC believes as long as the Sun continues its solar hibernation (a once every 206 year cold climate event) that we are on the precipice of a long term drop in global temperatures. It is entirely possible that the decades-long period of record global agricultural output that our world has enjoyed will soon be over, perhaps for many decades.",1_2,neutral
9521,"Investors can get spooked when government declares regulatory warfare on an industry, and the Waxman-Markey bill does just that.Consider the gross disparity between the refining industry??sshare of covered emissions (43%) under Waxman-Markey and its shareofemission allowances (2.5%).",4_1,fear
9525,"In some cases, the water-use efficiency increases caused by atmospheric CO2 enrichment are spectacularly high. De Luis et al. (1999) , for example, demonstrated that alfalfa plants subjected to atmospheric CO2 concentrations of 700 ppm had water-use efficiencies that were 2.6 and 4.1 times greater than those displayed by control plants growing at 400 ppm CO2 under water-stressed and well-watered conditions, respectively. Also, when grown at an atmospheric CO2 concentration of 700 ppm, a 2.7-fold increase in water-use efficiency was reported by Malmstrom and Field (1997) for oats infected with the barley yellow dwarf virus.",3_3,surprise
9530,"The great man-made global warming debate is entering an interesting phase, as early snow blankets much of Britain. If this winter is anything like as cold and long as last year??s, my postbag will soon be bulging with cries for help.",1_3,confusion
9534,"According to the most bloated alarmist numbers, sea level is currently rising 3 mm/year.But from 1930 to 1948, sea level rose almost 9 mm/ year.",1_6,neutral
9535,"Mr. Paulson also maintains that the carbon tax is vital to persuading China to curb its emissions. This claim is crucial, because U.S. emission controls can have only a trivial direct effect on global climate. Since 2005, U.S. emissions have fallen while those of the developing countries have soared. Developing country emissions now exceed those of the entire industrialized world. China is by far the world's biggest emitter. This new reality implies that nothing Washington can do domestically will stop climate change.",4_2,neutral
9537,"Overall, the results of this study support the hypothesis that published temperature data are contaminated with nonclimatic influences that add up to a net warming bias, and that efforts should be made to properly quantify these effects.",5_1,approval
9538,"THE reasonable thing to expect would be a modest cold event, followed by a warming event (DO Event), followed by significant cooling (Bond Event). And what have we had? A modest cold event in The Little Ice Age (with volcanoes, even), followed by a warming event into 1998, followed by a sleepy sun and the start of significant cooling.",2_1,realization
9539,"Ethanol is also bad for the environment. Science magazine published an article last year by Timothy Searchinger of Princeton University, among others, that concluded that biofuels cause deforestation, which speeds climate change. The National Oceanographic and Atmospheric Administration noted in July 2007 that the ethanol boom rapidly increased the amount of fertilizer polluting the Mississippi River. And this week, University of Minnesota researchers Yi-Wen Chiu, Sangwon Suh and Brian Walseth released a study showing that in California a state with a water shortage it can take more than 1,000 gallons of water to make one gallon of ethanol. They warned that energy security is being secured at the expense of water security.",4_4,neutral
9541,"In addition, ignore the fact that there have been more all-time U.S. cold records than heat records since the 1940s. And don't believe your lyin' eyes that tell you regarding that ""extreme weather"" we've been warned about that no category 3-5 hurricanes have struck the U.S. coast since October 2005, setting a century-long record lull since 1900.",1_7,neutral
9544,"In a very long sentence, the two researchers write that ""extreme temperatures (i) can be avoided (e.g. by accelerating hatching, by moving within the egg, by cooling the egg by enhanced rates of evaporation, or by hysteresis in rates of heating versus cooling); (ii) can be tolerated (e.g. by entering diapause, by producing heat-shock proteins, or by changing oxygen use); or (iii) the embryo can adjust its physiology and/or developmental trajectory in ways that reduce the fitness penalties of unfavorable thermal conditions (e.g. by acclimating, by exploiting brief windows of favorable conditions, or by producing the hatchling phenotype best suited to those incubation conditions.""",3_2,neutral
9545,"Solar physicists from several major US sun-watching labs announced last year that they believe based on decades-long trends of declining sunspot activity and other indicators that the current sunspot cycle may be the last one for a long time, and that a ""Maunder Minimum"" like that seen in the 17th and 18th centuries is on the cards. The sunspot-less Maunder Minimum was accompanied by a so-called ""Little Ice Age"" of cold winters and ice-skating on the Thames.",1_2,neutral
9546,"Who would have thoughtit seems that the largest mammal of North America, Ovibos moschatus or Musk Ox (actually, a big big kind of sheep) really does like it hot, even if its usually found around Canada and Greenland: to the point of disappearing from Europe, Asia and Alaska in the late XIX/early XX century due to climate change , a turn to cold that is.",3_2,neutral
9552,"natural thermostats, including clouds, which can trap heat, turn up the temperature or reflect sunlight and help cool the planet. So why is none of this reflected in the modelling? It is situating the appreciation again.",5_1,admiration
9553,"The early estimates of polar bear abundance are a guess. There is no data at all for the 1950-60s. Nothing but guesses. We are sure the populations were being negatively affected by excess harvest (e.g., aircraft hunting, ship hunting, self-killing guns, traps, and no harvest limits). The harvest levels were huge and growing. The resulting low numbers of bears were due only to excess harvest but, again, it was simply a guess as to the number of bears.",3_2,neutral
9555,"The current 11-year peak in solar action is the weakest seen for a long time, and it may presage a lengthy quiet period. Previously, historical records suggest that such periods have been accompanied by chilly conditions on Earth.",1_2,neutral
9560,2014: The host of MSNBCs The Ed Show promoted Soviet-style re-education for climate skeptic politicians by conducting an on-air poll on the question Should climate-denying Republicans be forced to take a basic earth science course?,5_2,neutral
9561,"Until such time as an independent inquiry actually addresses these concerns in a thorough and, yes, unbiased manner, Climategate will remain an open wound in the side of climate science.",5_2,neutral
9562,"The inference is that climate model predictions should be used to drive global energy policy. This is the simple linear model of scientism, that has been resoundingly debunked particularly for a complex problem like climate change.",5_1,neutral
9564,THE ATLANTIC MULTIDECADAL OSCILLATION IS NOT A FORCED COMPONENT OF THE CLIMATE MODELS,5_1,neutral
9567,"""Wind power,"" the study reports, ""is the second most expensive. It costs nearly 6 cents more per KWH."" The study puts these additional costs in context: ""The average cost of electricity to U.S. consumers in 2012 was 9.84 cents per KWH, including the cost of transmission and distribution of electricity. This means a new wind plant could at least cost 50% more per KWH to produce electricity, and a new solar plant at least 200% more per KWH, than using coal and gas technologies."" The study concludes: ""Renewable incentives that are biased in favor of wind and solar and biased against large-scale hydro, nuclear, and gas combined cycle are a very expensive and inefficient way to reduce CO2 emissions.""",4_4,neutral
9568,"Researchers Gabriel Vecchi and Brian Soden (from GDFL and the University of Miami respectively) examined how anthropogenic global warming may, at least according to climate models, alter the environment of the tropical Atlantic and thus possibly tropical cyclone statistics there as well. Recall that it is the tropical cyclones that form in the Atlantic Ocean that are the ones that cause the greatest impact the United States. And also recall that there is still an on-going, sometimes rather heated, debate about whether natural or anthropogenic (as if somehow we arent part of nature) causes are thought to be responsible for the increase in storminess since the early-1970s, as well as whether or not a continued enhancement to the earths greenhouse effect will lead to more and/or more intense hurricanes.",5_1,realization
9570,"This article is an attempt to describe some of the early results from the Antarctic reconstruction recently published on the cover of Nature which demonstrated a warming trend in the Antarctic since 1956. Actual surface temperatures in the Antarctic are hard to come by with only about 30 stations prior to 1980 recorded through tedious and difficult efforts by scientists in the region. In the 80s more stations were added including some automatic weather stations (AWS) which sit in remote areas and report the temperature information automatically. Unfortunately due to the harsh conditions in the region many of these stations have gaps in their records or very short reporting times (a few years in some cases). Very few stations are located in the interior of the Antarctic, leaving the trend for the central portion of the continent relatively unknown. The location of the stations is shown on the map below.",5_1,neutral
9572,"Whether the threats are short-term (hurricanes, floods and blizzards), intermediate (droughts) or long-term (warm or cool eras), preparation must be specific and regional in scale, for the perils vary widely by geographic location and a nation's state of technological advancement. If governments prepare properly for natural hazards, their countries and communities will also be ready for human-caused climate disruptions, should they ever occur.",4_2,approval
9574,"An unseasonably cold weather system will move through the Northern Rockies tonight into Tuesday morning. Snow levels are expected to drop to around 6000 feet, leading to light snow accumulations over the higher terrain. Those planning to venture into the back country should be prepared for light snow and temperatures 15 to 20 degrees below normal.",1_3,neutral
9576,"The direct warming effect of doubling the CO2 in the air is generally agreed to be little more than 1 C. However climate models produce exaggerated warming forecasts by assuming that strongly positive or amplifying temperature feedbacks, such as the increased capacity of warmer air to carry water vapour, a greenhouse gas. They assume that these positive feedbacks will turn 1 C of direct warming into 3 C of imagined catastrophe.",5_1,approval
9578,"Heat waves occurred with high frequency in the 1930s, and these remain the most severe heat waves in the U.S. historical record (see Figure 1). Many years of intense drought (the Dust Bowl) contributed to these heat waves by depleting soil moisture and reducing the moderating effects of evaporation.",1_7,neutral
9581,"?The global temperature ?savings? of the Kerry-Lieberman bill is astoundingly small?0.043 C (0.077 F) by 2050 and 0.111 C (0.200 F) by 2100. In other words, by century?s end, reducing U.S. greenhouse gas emissions by 83% will only result in global temperatures being one-fifth of one degree Fahrenheit less than they would otherwise be. That is a scientifically meaningless reduction.?",4_2,curiosity
9582,"Much like the U.S. Historical Climatology Network database (see our Temperature Record of the Week feature), these temperature reconstructions derived from limnological data from pristine mountain lakes in Europe support the tenet of our Editorial of 1 July 2000 , i.e., that ""there has been no global warming for the past 70 years,"" in that it is no warmer now in these locations than it was in the 1930s and 40s.",1_4,neutral
9586,"We found that two key physical processes, which were often overlooked in previous process models, were actually essential for accurately describing whether sea ice loss is reversible, said Eisenman, a professor of climate dynamics at Scripps Oceanography. One relates to how heat moves from the tropics to the poles and the other is associated with the seasonal cycle. None of the relevant previous process modeling studies had included both of these factors, which led them to spuriously identify a tipping point that did not correspond to the real world.",5_1,neutral
9587,"Early on in my statements about Climategate, I became aware that my statements were looked upon very unfavorably by some scientists, particularly those that were vocal advocates of the IPCC and UNFCCC policies. As an example, Peter Webster related a conversation at a professional meeting in 2010 with a young scientist who said something like: You know, Judy is REALLY unpopular among the scientists at lab. Im not sure, but I think she might be right. I can say that to you but of course I wouldnt dare say that at the lab.",5_2,realization
9594,"In setting the stage for their most interesting study, the authors say ""many scientists believe that a warmer climate will result in elevated summer temperatures and more frequent and intense heat waves,"" and that ""according to some predictions, heat-related mortality is expected to increase considerably as global temperatures continue to rise,"" which is, of course, standard climate-alarmist dogma. But must this necessarily be the case? What was done",5_2,curiosity
9604,"Analysts are predicting a record spike in pump prices starting in June, with 50% of East Coast refinery capacity now shut down due in part to costly EPA regulations. And theres no quick way to resupply that lost gas via refineries in Louisiana and Texas, thanks to EPA restrictions on new pipelines.",4_1,gratitude
9617,"'Fakegate' has reminded the public of the prevalent fraud and deception perpetrated by global warming alarmism - the IPCC's hurricane ""science"" is one such example",5_2,realization
9623,"Last winter they blamed all the cold and snow on missing Arctic ice. With Arctic ice extent now close to the highest in a decade, what lies will the experts fabricate for the cold weather in the coming winter?",1_1,curiosity
9624,"El Nios didnt only dominate during the 1990s. For some reason known only to Dana, he overlooked the fact that the 1976/77 El Nio started the period when El Nio events dominated the late 20 th Century. Thus, using Danas logic, El Nio events enhanced the observed global warming from the mid-1970s to the turn of the centurythe first 25 years of the past 40 years Dana chose for his discussion.",5_2,neutral
9630,"True, the British Antarctic Survey disagrees with the IPCC and maintains that the WAIS is in imminent danger of collapse, but so far even the IPCC has not bought that alarmist story.",5_2,neutral
9634,"Government research funding for at least 25 years has hinged on the assumption of human causation, and as I have always said, if you fund scientists to find a connection, they will indeed find it. That's why the resulting research that is published also is dominated by explanations involving human causation.",5_2,realization
9636,"Ljungqvist used 120 proxy records ??? nearly 3 times as many proxies as previous studies and conclude: ???during the 9th to 11th centuries there was widespread NH warmth comparable in both geographic extent and level to that of the 20th century??. Their proxies included ice-cores, pollen, marine sediments, lake sediments, tree-rings, speleothems and historical documentary data.",2_1,curiosity
9639,Their real agenda was disclosed in a Climatic Research Unit (CRU) leaked email dated December 2007 from senior writer Richard Littlemore to Michael Mann.,5_2,neutral
9641,The paper calculates the direct affect of CO2 (without feedback mechanism) using a line-by-line calculations of each wavelength of sunlight and using this approach they arrive at a value of direct heating of 0.45C for a doubling of CO2.,3_1,neutral
9650,"USHCN published only their adjusted data (F52) for August, and did not publish the raw (raw) data.",5_1,neutral
9651,"However, since actual CO2 production is already below IPCC forecasts, we might take a more reasonable date of 2080-2100 for a doubling to 560. And, combining this with our derived sensitivity of 1C (rather than RealClimate's 3C) we will get 0.5C more warming in the next 75-100 years. This is about the magnitude of warming we experienced in the last century, and most of us did not even notice.",3_1,realization
9653,"This years average temperature, 43.5 degrees, was the seventh-mildest on record warm, but not as warm as (starting with the warmest ever) 1889, 2006, 1931, 1949, 1982 or 1971.",2_1,neutral
9655,"What is rarely mentioned by climate alarmists is the incontrovertible fact that adding more carbon dioxide to the atmosphere has an ever-decreasing effect on global temperature. To illustrate this, compare covering a glass window with very thin paint. The first coat of paint cuts out some light, the second some more; but each subsequent coat has an ever decreasing effect on light shining through.",2_3,realization
9657,"Congress should hold hearings, demand an accounting of agency expenditures, require solid evidence for every climate claim and regulation, and cross-examine Administration officials on details. It should slash EPA and other agency budgets, so they cannot keep giving billions to pressure groups, propagandists and attack dogs. Honesty, transparency, accountability and a much shorter leash are long overdue.",5_2,approval
9664,"Effects of elevated CO2 on medicinal substances found in St. John??s wort CO2science.org, July 14 2004 180% increase in the air??s CO2 content more than doubled the dry mass produced by well-watered and fertilized St. John??s wort plants, while it also more than doubled the concentrations of both hypericin and pseudohypericen.",3_3,neutral
9665,"The result of this undertaking, as they describe it, was their finding that even throughout the late Holocene , ""reef health and growth has fluctuated through cycles independent of anthropogenic forcing."" Thus, they concluded -- and rightly so -- that ""degraded reef states cannot de facto be considered to automatically reflect increased anthropogenic stress,"" noting that ""in many cases degraded or non-accreting reef communities may reflect past reef growth histories as much as contemporary environmental change.""",3_2,neutral
9666,"The importance of refineries can hardly be overstated. Not only do they supply petrochemical feedstocks for plastics, pharmaceuticals and cosmetics, and fuel for cars, trucks, ships and airplanes to transport people, food and products. They also create thousands of jobs and generate billions of dollars in payrolls and taxes. In Texas alone, the refinery and chemicals industry adds 73,000 employees, $6 billion in salaries and $105 billion annually to the economy.",4_5,neutral
9667,"Last year, in the wake of the Queensland floods, Professor Steffen said the event was probably not the result of climate change but a natural part of climate variability. The floods across eastern Australia in 2010 and early 2011 were the consequence of a very strong La Nina event and not the result of climate change, he argued at the time.",1_7,neutral
9670,"The twentieth century indeed was warm. We know this to be so because temperatures could be measured using instruments designed for that purpose. What they indicate is that global temperature increased by about three-quarters of a degree Celsius. The question becomes: was that rate of warming unusual in a longer-term context? Well probably never be certain because there were no comparable instruments taking measurements in earlier centuries. Barring the unlikely discovery the Catholic Church operated a secret, well-calibrated global thermometric measurement campaign during the Crusades, for example, any comparison of contemporary measurements with those of the past will be, by definition, fraught with error.",5_1,confusion
9675,"Pielke's work was backed up by data and, in many cases, by the findings of the Intergovernmental Panel on Climate Change. But that didn't matter to Podesta's attack dogs at ThinkProgress. Long before his congressional testimony, Pielke had been the subject of a years-long smear campaign led by ThinkProgress's Joe Romm. In fact, Romm had what can only be described as an obsession with Pielke. In a recent Twitter posting, Pielke wrote: ""Propaganda works: I count more than 160 articles at the Center for American Progress trashing me over the years.""",5_2,neutral
9676,"CO2 Science Even in the face of a warming trend that climate alarmists describe as having been unprecedented over the past one to two millennia, their predictions of more frequent and more severe concomitant drought have not been realized.",1_7,realization
9680,"You cannot trust the UN's World Meteorological Organization which like the IPCC is just part of a vast matrix of groups that have been so severely corrupted by the global warming/climate change hoax that one must exercise caution when hearing its forecasts. If they are for anything beyond two weeks hence, you would be wise to be dubious.",5_2,neutral
